'2015-01-01',SCHOOLNAME,MEDIUM,ATLAG
2015-01-01,Aprily Lajos Altalanos Iskola,Rural,5.521
2015-01-01,Arany Janos Altalanos Iskola,Rural,5.766
2015-01-01,Arany Janos Altalanos Iskola ,Rural,6.133
2015-01-01,Augusztinovics Pal Altalanos Iskola,Rural,5.338
2015-01-01,Baczkamadarasi Kis Gergely Reformatus Kollegium,Urban,7.686
2015-01-01,Balas Jeno Altalanos Iskola,Rural,5.275
2015-01-01,Balint Vilmos Altalanos Iskola,Rural,6.137
2015-01-01,Bem Jozsef Altalanos Iskola,Rural,6.214
2015-01-01,Benedek Elek Altalanos Iskola,Rural,5.333
2015-01-01,Benedek Elek Pedagogiai Liceum,Urban,7.116
2015-01-01,Berde Mozes Unitarius Gimnazium,Urban,6.164
2015-01-01,Bethlen Gabor Altalanos Iskola,Rural,5.375
2015-01-01,Bethlen Gabor Altalanos Iskola,Urban,6.035
2015-01-01,Bogozi Altalanos Iskola,Rural,5.196
2015-01-01,Colegiul National "Octavian Goga" Miercurea Ciuc,Urban,7.883
2015-01-01,Cserei Mihaly Altalanos Iskola,Rural,5.162
2015-01-01,David Ferenc Altalanos Iskola,Rural,7.166
2015-01-01,Domokos Pal Peter Altalanos Iskola,Rural,6.291
2015-01-01,Dr. Lukacs Mihaly Altalanos Iskola,Rural,5.56
2015-01-01,Dr. P. Benedek Fidel Altalanos Iskola,Rural,6.805
2015-01-01,Dr. P. Boros Fortunat Elmeleti Kozepiskola,Rural,5.749
2015-01-01,Dr. Pallo Imre Muveszeti Liceum,Urban,6.751
2015-01-01,Dumitru Gafton Altalanos Iskola,Rural,6.229
2015-01-01,Elekes Vencel Altalanos Iskola,Rural,5.59
2015-01-01,Endes Jozsef Altalanos Iskola,Rural,5.477
2015-01-01,Fenyokuti Altalanos Iskola,Rural,6.353
2015-01-01,Fogarasy Mihaly Altalanos Iskola,Urban,6.511
2015-01-01,Frater Gyorgy Altalanos Iskola,Rural,5.985
2015-01-01,Fulop Aron Altalanos Iskola,Rural,6.108
2015-01-01,Gal Sandor Altalanos Iskola,Rural,7.057
2015-01-01,Galfi Sandor Altalanos Iskola,Rural,4.956
2015-01-01,Gyergyotolgyesi Altalanos Iskola,Rural,6.113
2015-01-01,Hidegsegi Altalanos Iskola,Rural,5.594
2015-01-01,Imets Fulop Jako Altalanos Iskola,Rural,7.108
2015-01-01,Imets Fulop Jako Altalanos Iskola,Rural,6.569
2015-01-01,Janos Zsigmond Altalanos Iskola,Rural,6.316
2015-01-01,Jokai Mor Altalanos Iskola,Urban,6.386
2015-01-01,Jokai Mor Altalanos Iskola,Rural,5.016
2015-01-01,Josika Miklos Altalanos Iskola,Rural,4.95
2015-01-01,Jozsef Attila Altalanos Iskola,Urban,6.969
2015-01-01,Jozsef Attila Altalanos Iskola,Rural,4.152
2015-01-01,Kajoni Janos Altalanos Iskola,Rural,5.996
2015-01-01,Kelemen Imre Altalanos Iskola,Rural,5.941
2015-01-01,Kemeny Janos Elmeleti Liceum,Urban,6.802
2015-01-01,Kiss Ferenc Altalanos Iskola,Rural,6.847
2015-01-01,Kollo Miklos Altalanos Iskola,Rural,5.653
2015-01-01,Korispataki Altalanos Iskola,Rural,5.45
2015-01-01,Korondi Szakkozepiskola,Rural,5.098
2015-01-01,Korosi Csoma Sandor Altalanos Iskola,Rural,6.042
2015-01-01,Kos Karoly Altalanos Iskola Gyergyoszentmiklos,Urban,5.878
2015-01-01,Kriza Janos Altalanos Iskola,Rural,7.283
2015-01-01,Laszlo Gyula Altalanos Iskola,Rural,5.76
2015-01-01,Liceul "Marin Preda" Odorheiu Secuiesc,Urban,7.016
2015-01-01,Liceul "Miron Cristea" Subcetate,Rural,6.549
2015-01-01,Liceul Teoretic "O.C.Taslauanu" Toplita,Urban,8.034
2015-01-01,Liceul Teoretic "Sfantu Nicolae" Gheorgheni,Urban,7.79
2015-01-01,Majlath Gusztav Karoly Altalanos Iskola,Rural,5.929
2015-01-01,Makkai Andras Altalanos Iskola,Rural,3.932
2015-01-01,Marosi Gergely Altalanos Iskola,Rural,3.708
2015-01-01,Marton Aron Altalanos Iskola,Rural,5.996
2015-01-01,Marton Aron Altalanos Iskola,Rural,7.439
2015-01-01,Marton Aron Altalanos Iskola,Rural,6.202
2015-01-01,Marton Ferenc Altalanos Iskola,Rural,4.843
2015-01-01,Marton Ferenc Altalanos Iskola,Rural,5.907
2015-01-01,Martonffi Janos Altalanos Iskola,Urban,7.156
2015-01-01,Martonffy Gyorgy Altalanos Iskola,Rural,6.52
2015-01-01,Mora Ferenc Altalanos Iskola,Urban,6.799
2015-01-01,Nagy Imre Altalanos Iskola,Urban,7.279
2015-01-01,Nagy Istvan Altalanos Iskola,Rural,4.433
2015-01-01,Nagy Istvan Muveszeti Kozepiskola,Urban,7.283
2015-01-01,Nagygalambfalvi Altalanos Iskola,Rural,6.449
2015-01-01,Nyiro Jozsef Altalanos Iskola,Rural,5.234
2015-01-01,Nyiro Jozsef Altalanos Iskola,Rural,5.339
2015-01-01,Orban Balazs Altalanos Iskola,Urban,7.779
2015-01-01,Orban Balazs Elmeleti Liceum,Urban,7.451
2015-01-01,Palpataki Altalanos Iskola,Rural,4.432
2015-01-01,Pecsi Simon Altalanos Iskola,Rural,3.998
2015-01-01,Petofi Sandor Altalanos Iskola,Urban,6.947
2015-01-01,Petofi Sandor Altalanos Iskola,Rural,5.479
2015-01-01,Petofi Sandor Altalanos Iskola,Urban,6.2
2015-01-01,Petofi Sandor Iskolakozpont,Rural,6.248
2015-01-01,Roman Viktor Altalanos Iskola,Rural,4.145
2015-01-01,Scoala Gimnaziala "Andrei Saguna" Toplita,Urban,6.294
2015-01-01,Scoala Gimnaziala "Geo Bogza" Balan,Urban,6.311
2015-01-01,Scoala Gimnaziala "Liviu Rebreanu" Miercurea Ciuc,Urban,7.881
2015-01-01,Scoala Gimnaziala "Miron Cristea" Toplita,Urban,6.416
2015-01-01,Scoala Gimnaziala "O.C.Taslauanu" Bilbor,Rural,6.223
2015-01-01,Scoala Gimnaziala "Sfantu Ilie" Toplita,Urban,5.951
2015-01-01,Scoala Gimnaziala Livezi,Rural,7.27
2015-01-01,Scoala Gimnaziala Toplita-Calimanel,Urban,5.583
2015-01-01,Segito Maria Romai Katolikus Teologiai Liceum,Urban,7.029
2015-01-01,Siklodi Lorinc Altalanos Iskola,Rural,6.783
2015-01-01,Sover Elek Szakkozepiskola,Rural,5.142
2015-01-01,Sukosd Ferenc Altalanos Iskola,Rural,6.714
2015-01-01,Szekely Mozes Altalanos Iskola,Rural,6.358
2015-01-01,Szekely Mozes Altalanos Iskola,Rural,5.488
2015-01-01,Szent Andras Altalanos Iskola,Rural,5.28
2015-01-01,Szent Erzsebet Romai Katolikus Liceum,Rural,5.71
2015-01-01,Szent Istvan Altalanos Iskola,Rural,5.19
2015-01-01,Tamasi Aron Altalanos Iskola,Rural,6.729
2015-01-01,Teodor Chindea Altalanos Iskola,Rural,5.111
2015-01-01,Tivai Nagy Imre Szakkozepiskola,Rural,5.998
2015-01-01,Tompa Laszlo Altalanos Iskola,Urban,4.092
2015-01-01,Toro Tibor Altalanos Iskola,Rural,4.668
2015-01-01,Tuzson Janos Altalanos Iskola,Rural,5.313
2015-01-01,Vaskertes Altalanos Iskola,Urban,6.769
2015-01-01,Vitos Mozes Altalanos Iskola,Rural,5.166
2015-01-01,Xantus Janos Altalanos Iskola,Urban,4.063
2015-01-01,Zimmethausen Szakliceum,Urban,6.578
2015-01-01,Zold Peter Altalanos Iskola,Rural,6.377
